bank_txn_id,value_date,amount,description,counterparty,reference,bank_channel
BNK-0001,2024-06-12,56109.87,"Consulting fee - Choudhury, Bakshi and Maharaj","Choudhury, Bakshi and Maharaj",REF-42868828,RTGS
BNK-0002,2024-02-27,70199.2,Invoice settlement - Kapoor and Sons,Kapoor and Sons,REF-83197857,RTGS
BNK-0003,2024-01-23,295451.01,"Payment for services rendered - Chaudry, Chahal and Sami","Chaudry, Chahal and Sami",REF-13999315,UPI
BNK-0004,2024-01-24,109709.67,Maintenance contract - Balan Inc,Balan Inc,REF-90801586,UPI
BNK-0005,2024-01-07,280807.88,Maintenance contract - Kaul PLC,Kaul PLC,REF-66306997,IMPS
BNK-0006,2024-02-26,224879.92,"Consulting fee - Bala, Issac and Saini","Bala, Issac and Saini",REF-10872248,UPI
BNK-0007,2024-02-10,349220.63,Vendor payment - Sen PLC,Sen PLC,REF-47295260,NEFT
BNK-0008,2024-02-09,108049.22,Vendor payment - Ahuja-Dutta,Ahuja-Dutta,REF-23718431,IMPS
BNK-0009,2024-01-24,190273.69,"Vendor payment - Sami, Oak and Mall","Sami, Oak and Mall",REF-56164955,IMPS
BNK-0010,2024-06-03,132628.17,Payment for services rendered - Kale LLC,Kale LLC,REF-71662963,RTGS
BNK-0011,2024-05-17,62850.67,Professional services - Chanda Group,Chanda Group,REF-20576383,UPI
BNK-0012,2024-05-21,146942.55,Project milestone payment - Parmer LLC,Parmer LLC,REF-58537831,IMPS
BNK-0013,2024-05-27,96548.15,"Invoice settlement - Lalla, Bassi and Sharaf","Lalla, Bassi and Sharaf",REF-16150444,UPI
BNK-0014,2024-06-18,114335.19,"Consulting fee - Dash, Radhakrishnan and Brar","Dash, Radhakrishnan and Brar",REF-20709497,UPI
BNK-0015,2024-02-29,433308.59,"Professional services - Memon, Pathak and Handa","Memon, Pathak and Handa",REF-47308985,UPI
BNK-0016,2024-04-26,318024.38,"Vendor payment - Boase, Bath and Kari","Boase, Bath and Kari",REF-31831063,RTGS
BNK-0017,2024-04-04,177957.71,Consulting fee - Buch-Kaul,Buch-Kaul,REF-96977837,UPI
BNK-0018,2024-01-19,304760.94,Monthly retainer - Rai LLC,Rai LLC,REF-81691040,RTGS
BNK-0019,2024-03-03,82119.55,Professional services - Patla-Gaba,Patla-Gaba,REF-46231783,NEFT
BNK-0020,2024-06-12,344236.9,Software subscription - Pant-Kadakia,Pant-Kadakia,REF-53524491,IMPS
BNK-0021,2024-01-18,114909.51,"Payment for services rendered - Loke, Bora and Garg","Loke, Bora and Garg",REF-52339391,NEFT
BNK-0022,2024-04-12,134236.57,"Software subscription - Konda, Gade and Shere","Konda, Gade and Shere",REF-86125617,RTGS
BNK-0023,2024-03-21,106706.96,Annual license fee - Madan-Kanda,Madan-Kanda,REF-63100814,IMPS
BNK-0024,2024-06-13,229696.5,"Consulting fee - Nair, Bhalla and Karnik","Nair, Bhalla and Karnik",REF-28740864,RTGS
BNK-0025,2024-03-04,372622.0,Maintenance contract - Mutti Group,Mutti Group,REF-45264581,RTGS
BNK-0027,2024-04-02,110050.72,"Monthly retainer - Murty, Kala and Tata","Murty, Kala and Tata",REF-78387461,RTGS
BNK-0028,2024-05-06,45909.25,Payment for services rendered - Shanker-Dhar,Shanker-Dhar,REF-24716857,NEFT
BNK-0029,2024-02-09,313909.3,Professional services - Dewan-Koshy,Dewan-Koshy,REF-90048665,NEFT
